No.,Time,Source,Destination,Protocol,Classification,Length,Info
1031,69.341262,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1032,69.341262,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1033,69.341262,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1034,69.341677,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:803::2004,QUIC,Threat,94,"Protected Payload (KP0), DCID=e9ad21b0b4cbad9a"
1035,69.34874,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1036,69.34874,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1037,69.34874,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1038,69.34874,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1039,69.349445,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:803::2004,QUIC,Threat,94,"Protected Payload (KP0), DCID=e9ad21b0b4cbad9a"
1040,69.352368,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1041,69.352368,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,329,Protected Payload (KP0)
1042,69.358869,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1285,Protected Payload (KP0)
1043,69.358869,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1044,69.358869,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1045,69.358869,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
